,date,open,high,low,close,volume
513,2014-11-09,1662.75,1667.7,1625.99,1640.32,27663698000.0
514,2014-11-16,1671.22,1750.84,1657.14,1728.8,42655503200.0
515,2014-11-23,1758.99,1758.99,1662.72,1714.71,24514912000.0
516,2014-11-30,1729.27,1915.81,1722.71,1914.44,54234341600.0
517,2014-12-07,1936.81,2259.51,1909.37,2200.25,89869318400.0
518,2014-12-14,2187.5,2402.13,2111.88,2193.29,91595334400.0
519,2014-12-21,2170.28,2413.68,2139.47,2390.28,78528572800.0
520,2014-12-28,2393.04,2479.11,2238.65,2464.82,75105180000.0
521,2015-01-04,2533.99,2590.09,2437.75,2581.57,48872147200.0
522,2015-01-11,2612.85,2692.61,2540.34,2569.02,75876070400.0
523,2015-01-18,2565.74,2685.31,2499.87,2653.03,52725932800.0
524,2015-01-25,2448.93,2612.93,2355.26,2564.51,66470081600.0
525,2015-02-01,2563.91,2574.33,2400.63,2405.38,45687485600.0
526,2015-02-08,2337.2,2456.57,2303.11,2325.24,43212727200.0
527,2015-02-15,2319.24,2464.08,2311.8,2427.47,33776024000.0
528,2015-02-22,2427.17,2464.52,2413.6,2445.26,12261868800.0
529,2015-03-01,2448.2,2498.7,2382.69,2474.59,24434636800.0
530,2015-03-08,2495.57,2498.72,2344.95,2371.62,38620004800.0
531,2015-03-15,2352.22,2532.15,2321.26,2495.28,48368963200.0
532,2015-03-22,2512.35,2710.13,2485.29,2680.68,67153380800.0
533,2015-03-29,2700.16,2724.64,2621.45,2689.24,68129222400.0
534,2015-04-05,2716.43,2860.24,2704.8,2817.18,71765268000.0
535,2015-04-12,2854.41,3021.85,2838.88,2986.6,65797371200.0
536,2015-04-19,3040.01,3271.57,3013.31,3235.33,89029337600.0
537,2015-04-26,3267.85,3313.81,3135.22,3223.96,101441576000.0
538,2015-05-03,3257.97,3370.02,3243.54,3250.49,75926440000.0
539,2015-05-10,3250.12,3273.15,3045.01,3110.46,66458896000.0
540,2015-05-17,3112.24,3200.18,3044.85,3060.41,59721711200.0
541,2015-05-24,3032.71,3249.52,2996.72,3248.86,56758256800.0
542,2015-05-31,3263.96,3404.76,3036.96,3111.33,76599054400.0
543,2015-06-07,3114.79,3365.59,3082.16,3303.99,77684446400.0
544,2015-06-14,3333.83,3494.82,3308.3,3350.25,90733340800.0
545,2015-06-21,3359.71,3366.84,2900.79,2903.06,75199299200.0
546,2015-06-28,2907.08,3082.56,2678.77,2736.7,62071764800.0
547,2015-07-05,2802.77,2872.91,2511.16,2582.27,99497640000.0
548,2015-07-12,2807.75,2997.6,2493.64,2898.41,164003705600.0
549,2015-07-19,2855.7,2949.2,2665.95,2807.06,87914477600.0
550,2015-07-26,2798.56,2815.7,2721.35,2741.04,59085455200.0
551,2015-08-02,2698.8,2715.36,2400.87,2461.24,53173730400.0
552,2015-08-09,2433.24,2537.35,2419.85,2503.8,32235868400.0
553,2015-08-16,2527.62,2626.36,2517.95,2577.04,42758571200.0
554,2015-08-23,2560.37,2572.21,2261.31,2271.36,40968225600.0
555,2015-08-30,2195.46,2203.63,1874.22,2159.96,58998708000.0
556,2015-09-06,2135.6,2248.77,2071.41,2243.63,44156483200.0
557,2015-09-13,2215.18,2247.44,2084.03,2195.39,31387273600.0
558,2015-09-20,2205.7,2277.58,2126.29,2198.99,28821342400.0
559,2015-09-27,2185.08,2259.07,2150.02,2183.4,17476668800.0
560,2015-10-04,2169.15,2175.97,2114.3,2146.12,7077810200.0
