上榜时间,股票代码,股票名称,现价,涨跌幅,成交额,上榜涨幅,榜间涨幅
2024-06-03 13:46:19,300458,全志科技,21.31,2.7,95107.85,-0.53,-0.10
2024-06-03 13:50:30,300661,圣邦股份,78.87,1.68,17392.89,-0.60,0.06
2024-06-03 13:50:30,300458,全志科技,21.32,2.75,95581.67,-0.48,0.05
2024-06-03 13:50:30,300408,三环集团,29.3,0.72,21352.71,-1.14,0.03
2024-06-03 13:50:30,002938,鹏鼎控股,30.36,1.54,44549.29,0.27,0.00
2024-06-03 13:50:30,002463,沪电股份,33.49,7.17,205866.17,1.15,-0.03
2024-06-03 13:50:30,601919,中远海控,16.1,7.05,348922.33,1.27,-0.06
2024-06-03 13:50:30,600171,上海贝岭,16.82,1.02,166951.10,-0.24,-0.84
2024-06-03 13:54:44,600171,上海贝岭,17.09,2.64,170174.13,1.38,1.62
2024-06-03 13:54:44,300458,全志科技,21.45,3.37,96541.47,0.14,0.62
2024-06-03 13:54:44,300408,三环集团,29.35,0.89,21705.36,-0.97,0.17
2024-06-03 13:54:44,002463,沪电股份,33.49,7.17,207093.31,1.15,0.13
2024-06-03 13:54:44,002938,鹏鼎控股,30.38,1.61,45442.49,0.34,0.00
2024-06-03 13:54:44,601919,中远海控,16.06,6.78,352227.07,1.00,-0.27
2024-06-03 13:58:57,002938,鹏鼎控股,30.26,1.2,45991.43,-0.07,0.03
2024-06-03 13:58:57,002463,沪电股份,33.39,6.85,208187.33,0.83,0.03
2024-06-03 13:58:57,300408,三环集团,29.3,0.72,21921.24,-1.14,-0.17
2024-06-03 13:58:57,600171,上海贝岭,17.05,2.4,172456.49,1.14,-0.24
2024-06-03 13:58:57,601919,中远海控,15.99,6.32,355932.75,0.54,-0.46
2024-06-03 13:58:57,300458,全志科技,21.32,2.75,96968.17,-0.48,-0.62
2024-06-03 14:03:09,601919,中远海控,16.03,6.58,358153.65,0.80,0.26
2024-06-03 14:03:09,300408,三环集团,29.36,0.93,22151.77,-0.93,0.21
2024-06-03 14:03:09,300458,全志科技,21.35,2.89,97510.13,-0.34,0.14
2024-06-03 14:03:09,002938,鹏鼎控股,30.22,1.07,46663.03,-0.20,0.07
2024-06-03 14:03:09,002463,沪电股份,33.35,6.72,209907.27,0.70,0.00
2024-06-03 14:03:09,600171,上海贝岭,17.05,2.4,173734.20,1.14,0.00
2024-06-03 14:07:24,300408,三环集团,29.4,1.07,22778.56,-0.79,0.14
2024-06-03 14:07:24,002938,鹏鼎控股,30.22,1.07,47112.79,-0.20,-0.03
2024-06-03 14:07:24,002463,沪电股份,33.22,6.3,212371.62,0.28,-0.04
2024-06-03 14:07:24,601919,中远海控,16.02,6.52,360126.23,0.74,-0.06
2024-06-03 14:07:24,300458,全志科技,21.25,2.41,98418.89,-0.82,-0.48
2024-06-03 14:07:24,600171,上海贝岭,16.95,1.8,174699.84,0.54,-0.60
2024-06-03 14:11:40,002938,鹏鼎控股,30.26,1.2,47587.30,-0.07,0.03
2024-06-03 14:11:40,601919,中远海控,16.02,6.52,361928.07,0.74,0.00
2024-06-03 14:11:40,002463,沪电股份,33.19,6.21,213907.19,0.19,-0.06
2024-06-03 14:15:59,300458,全志科技,21.27,2.51,99878.73,-0.72,0.10
2024-06-03 14:15:59,002463,沪电股份,33.23,6.34,215600.83,0.32,0.00
2024-06-03 14:15:59,002938,鹏鼎控股,30.24,1.14,48123.77,-0.13,0.00
2024-06-03 14:15:59,300408,三环集团,29.39,1.03,23748.78,-0.83,-0.04
2024-06-03 14:15:59,600171,上海贝岭,16.92,1.62,176470.38,0.36,-0.18
2024-06-03 14:20:19,002463,沪电股份,33.2,6.24,217254.54,0.22,0.03
2024-06-03 14:20:19,002938,鹏鼎控股,30.21,1.04,48571.82,-0.23,-0.10
2024-06-03 14:24:46,002463,沪电股份,33.08,5.86,220712.05,-0.16,0.13
2024-06-03 14:29:12,002463,沪电股份,33.15,6.08,222737.64,0.06,-0.16
2024-06-03 14:33:32,002463,沪电股份,33.16,6.11,224262.40,0.09,0.03
2024-06-03 14:37:55,002463,沪电股份,33.27,6.46,225802.05,0.44,0.19
2024-06-03 14:42:11,300458,全志科技,21.43,3.28,107478.31,0.05,0.77
2024-06-03 14:42:11,601919,中远海控,16.04,6.65,381365.36,0.87,0.13
2024-06-03 14:42:11,002463,沪电股份,33.31,6.59,227719.96,0.57,0.03
